Key,English,Swedish,State,Comment
,,,,
—,,,,
&,,,,
%.1f kg,,,,
%@,,,,
%@ kg,,,,
%@kg,,,,
%lld,,,,
%lld %@,%1$lld %2$@,,new,
%lld bpm,,,,
%lld deltagare,,,,
%lld kcal,,,,
%lld m,,,,
%lld min,,,,
%lld ms,,,,
%lld övningar,,,,
%lld set,,,,
%lld utrustning,,,,
%lld valda,,,,
%lld/%lld,%1$lld/%2$lld,,new,
%lld/3,,,,
%lld%%,,,,
%lldk,,,,
%lldkm,,,,
%llds,,,,
•,,,,
• %@,,,,
+ %lld till,,,,
👤,,,,
00:00,,,,
0%,,,,
7 dagar,,,,
10 reps @ 60kg,,,,
30 dagar,,,,
45%,,,,
90 dagar,,,,
Accessories,,Tillbehör,translated,
Address (Optional),,Adress (Valfritt),translated,
Adjust Training,,,,
adjustable_bench,Adjustable Bench,Justerbar Bänk,translated,
Admin,,,,
Adress (Valfritt),,,,
Advanced,,Mycket van,translated,
Age,,Ålder,translated,
Age exceeds 110 years. Please check your value.,,Ålder överstiger 110 år. Vänligen kontrollera ditt angivna värde.,translated,
Age is below 9 years. Please check your value.,,Ålder understiger 9 år. Vänligen kontrollera ditt angivna värde.,translated,
AI-förslag,,,,
AI: %@,,,,
Aktiva kalorier,,,,
Aktivera HealthKit,,,,
Aktivera notifikationer,,,,
Aktiverad,,,,
AKTIVITETSDETALJER,,,,
Aktivt gym,,,,
Aktivt Gym,,,,
All utrustning har granskats.,,,,
All-round,,,,
Alla övningar har granskats.,,,,
An unexpected error occurred: %@,,,,
An unknown error occurred.,,,,
Analys,,,,
Analyserar ditt program...,,,,
Analyzing your goals...,,Analyserar dina mål...,translated,
Ange din e-post,,,,
Anledning (valfritt),,,,
Anpassa appens utseende med ditt favoritfärgschema,,,,
Anslut hälsodata,,,,
Anteckningar (valfritt),,,,
Användarvillkor – RepCompanion,,,,
Apple Health,,,,
April,,April,translated,
ÅTERHÄMTNINGSDETALJER,,,,
Återställ,,,,
Återställ allt,,,,
Åtkomst nekad,,,,
Attachment,,Tillbehör,translated,
August,,Augusti,translated,
Auto,,,,
av %@,,,,
Available Equipment,,Tillgänglig utrustning,translated,
Avböj,,,,
Avbryt,,,,
Avsluta,,,,
Avsluta & Spara,,,,
Avsluta pass,,,,
Avsluta...,,,,
Avvisa,,,,
Back,,Tillbaka,translated,Back button
Balanced full-body program with focus on basic movements,,,,
band,Resistance Band,Gummiband,translated,
Bänkpress,,,,
barbell,Barbell,Skivstång,translated,
barbell_deadlift,Barbell Deadlift,Marklyft,translated,
barbell_squat,Barbell Squat,Knäböj,translated,
Bättre hälsa,Better Health,Bättre hälsa,translated,
Beginner,,Nybörjare,translated,
bench,Bench,Träningsbänk,translated,
Bench Press,,Bänkpress,translated,
bench_press,Bench Press,Bänkpress,translated,
Benches,,Bänkar,translated,
Beräknad träningstid,,,,
Beskrivning,,,,
Better health,,Bättre hälsa,translated,
Better Health,,Bättre hälsa,translated,
Between exercises,,,,
Between sets,,,,
bicep_curl,Bicep Curl,Bicepscurl,translated,
Bläddra övningar,,,,
Bli rörligare,Mobility,Bli rörligare,translated,
bodyweight,Bodyweight,Kroppsvikt,translated,
Bodyweight,,Kroppsvikt,translated,
Börja om på Pass 1,,,,
Börja om på Pass 1?,,,,
Börja träna,,,,
born,,född,translated,
Bra jobbat!,,,,
Build muscle,,Bygga muskler,translated,
Build Muscle,,Bygga muskler,translated,
Build muscle mass and get stronger.,,Bygg muskelmassa och bli starkare.,translated,
Building your workout program...,,Bygger ditt träningsprogram...,translated,
Bygg muskelmassa och bli starkare.,Build muscle mass and get stronger.,Bygg muskelmassa och bli starkare.,translated,
Bygga muskler,Build Muscle,Bygga muskler,translated,
cable_machine,Cable Machine,Kabelmaskin,translated,
calf_raise,Calf Raise,Vadpress,translated,
"Calorie intake matters for progression. If you strive for muscle building, a small calorie surplus is needed (200-300 kcal/day).",,,,
Cardio,,Kondition,translated,
Check value,,,,
Choose Theme,,Välj tema,translated,
Choosing exercises...,,Väljer övningar...,translated,
